"evidence_id","doc_id","source_file","page","chunk_index","chunk_text"
"bm25_prf_p09_c001","bm25_prf","bm25_prf.pdf","9","1","2.4 Some Notation 339 As discussed above, we assume that relevance is a binary property of a document (given an information need). We will use the short-hand notation P(rel|d,q) to denote P(Rel = rel|d,q). For documents and queries, we generally assume a bag or set of words model. We have a vocabulary of terms indexed into the set V, each of which may be present or absent (in the set of words model) or may be present with some frequency (bag of words model). In either case the objects (documents or queries) may be represented as vectors over the space deﬁned by the vocabulary. Thus a document is: document: d := (tf 1,..., tf |V|), where tf i normally represents the frequency of termti in the document. We will also need to distinguish between the random variable TF i and its observed value in a document, tf i. The random variable will usually refer to the term frequencies of a given term in the vocabulary. However, the formulation of the basic model is somewhat more general than this, and can accommodate any discrete variable as a feature (e.g., any discrete property or attribute of the document). Thus we can re-interpret tf as simply representing presence or absence of a term; this is the basis of Section 3.1 below. Continuous variables can also be accommodated by replacing probability mass functionsTF i (of discrete variables) by probability density functions (of continuous variables); although we do not present a formal development of the"
"bm25_prf_p09_c002","bm25_prf","bm25_prf.pdf","9","2","this is the basis of Section 3.1 below. Continuous variables can also be accommodated by replacing probability mass functionsTF i (of discrete variables) by probability density functions (of continuous variables); although we do not present a formal development of the model with continuous variables, we will use this fact in Section 3.7 to introduce some non-textual continuous features into the model. A query is represented in two diﬀerent ways. In the ﬁrst, it is treated similarly as a vector: query: q := (qtf 1,..., qtf |V|) Here again the components qtf i may represent term frequencies in the query, or may represent a binary presence or absence feature. Throughout this survey we will need to sum or multiply variables of terms present in the query (i.e., with qtf i > 0). For this purpose we deﬁne the set of indices: query terms: q := {i|qtf i > 0} (indices of terms in the query)"
"bm25_prf_p10_c001","bm25_prf","bm25_prf.pdf","10","1","340 Development of the Basic Model 2.4.1 Preview of the Development The following provides an overview of the development of the basic model; the individual steps are discussed below. The main point to note is that we start with the very general PRP, and end up with an explicit document scoring function, composed of a simple sum of weights for the individual query terms present in the document. P(rel|d,q) ∝ q P(rel|d,q) P(rel|d,q) (2.1) = P(d|rel,q) P(d|rel,q) P(rel|q) P(rel|q) (2.2) ∝ q P(d|rel,q) P(d|rel,q) (2.3) ≈ ∏ i∈V P(TF i = tf i |rel,q) P(TF i = tf i |rel,q) (2.4) ≈ ∏ i∈q P(TF i = tf i |rel) P(TF i = tf i |rel) (2.5) ∝ q ∑ q log P(TF i = tf i |rel) P(TF i = tf i |rel) (2.6) = ∑ q Ui(tf i) (2.7) = ∑ q,tf i>0 Ui(tf i)+ ∑ q,tf i=0 Ui(0) − ∑ q,tf i>0 Ui(0) + ∑ q,tf i>0 Ui(0) (2.8) = ∑ q,tf i>0 (Ui(tf i) − Ui(0)) + ∑ q Ui(0) (2.9) ∝ q ∑ q,tf i>0 (Ui(tf i) − Ui(0)) (2.10) = ∑ q,tf i>0 wi (2.11)"
"bm25_prf_p11_c001","bm25_prf","bm25_prf.pdf","11","1","2.4 Some Notation 341 2.4.2 Details We start with the probability of relevance of a given document and query. The ﬁrst three steps are simple algebraic transformations. In Step (2.1), we simply replace the probability by an odds-ratio. 2 In Step (2.2), we perform Bayesian inversions on both numerator and denominator. In Step (2.3), we drop the second component which is independent of the document, and therefore does not aﬀect the rank- ing of the documents. In Step (2.4) (term independence assumption), we expand each probability as a product over the terms of the vocabulary. This step depends on an assumption of statistical independence between terms — actually a pair of such assumptions, for the relevant and non-relevant cases, respectively. Note that we are not assuming unconditional term independence, but a weaker form, namely conditional independence. 3 This is clearly a much more arguable step: in general terms will not be statistically independent in this fashion. The obvious reason for taking this step is to lead us to a simple and tractable (even if approximate) scoring function. However, we may make some further arguments to support this step: 1. Models of this type in other domains, known as Na¨ıve Bayes models, are well known to be remarkably good, simple and robust, despite signiﬁcant deviations from independence. Experimental evidence in IR provides some support for this general statement. 2. The pair of assumptions is not in general equivalent to a blanket assumption of independence between terms over the whole collection. On"
"bm25_prf_p11_c002","bm25_prf","bm25_prf.pdf","11","2","robust, despite signiﬁcant deviations from independence. Experimental evidence in IR provides some support for this general statement. 2. The pair of assumptions is not in general equivalent to a blanket assumption of independence between terms over the whole collection. On the contrary, for a pair of query terms, both statistically correlated with relevance, the pair of assumptions predict a positive association between the two terms over the whole collection. In fact we often observe such a positive association. In eﬀect the model says that this 2 This transformation is order preserving; the odds-ratio of p is p 1− p , and this function is a monotonous increasing function of p ∈ [0,1). 3 P(ab| c)= P(a| c)P(b| c)."
"bm25_prf_p12_c001","bm25_prf","bm25_prf.pdf","12","1","342 Development of the Basic Model positive association is induced by relevance to the query. 4 This is clearly an over-simpliﬁcation, but perhaps not such a bad one. 3. Cooper [11] has demonstrated that we can arrive at the same transformation on the basis of a weaker assumption, called linked dependence. 5 This is essentially that the degree of sta- tistical association between the terms is the same in the rel- evant as in the non-relevant subsets. Again, this theoretical result may help to explain the robustness of such a model. We may represent the independence assumptions by means of a graph- ical model, as in Figure 2.1. This diagram shows how the term frequen- cies (tf i)i∈V are assumed to be generated as stochastic observations dependant only on the state of the relevance variable Rel (a full expla- nation of graphical model diagrams is outside the scope of this paper, we refer the reader to [6]). In step (2.5) (query-terms assumption), we restrict ourselves to the query terms only: in eﬀect, we assume that for any non-query term, the ratio of conditional probabilities is constant and equal to one. 6 This might seem a drastic assumption (that no non-query terms have any association with relevance); however, this is not quite the explanation of the step. We have to consider the question of what information we Fig. 2.1 Graphical model indicating basic independence assumptions. 4 If P(a| c) >P (a| c) and similarly for b, then it follows that P(ab)"
"bm25_prf_p12_c002","bm25_prf","bm25_prf.pdf","12","2","quite the explanation of the step. We have to consider the question of what information we Fig. 2.1 Graphical model indicating basic independence assumptions. 4 If P(a| c) >P (a| c) and similarly for b, then it follows that P(ab) >P (a)P(b) even under the conditional independence assumptions made. 5 P (a,b| c) P (a,b| c) = P (a| c) P (a| c) P (b| c) P (b| c) . 6 Note that if the ratio is constant, then it must be equal to one; otherwise we would have one of the probability distribution with probabilities always higher than another one, which is impossible since they both need to sum to 1."
"bm25_prf_p13_c001","bm25_prf","bm25_prf.pdf","13","1","2.4 Some Notation 343 have on which to base an estimate of the probability of relevance. It is a reasonable prior assumption, and turns out to be a good one, that in general query terms are (positively) correlated with relevance. However, we can make no such assumption about non-query terms (a term relating to a completely diﬀerent topic could well be negatively correlated with relevance). In the absence of any link to the query, the obvious vague prior assumption about a random vocabulary term must be that it is not correlated with relevance to this query. Later we will consider the issue of query expansion, adding new terms to the query, when we have evidence to link a non-query term with relevance to the query. Again, we can illustrate the assumptions by means of a graphical model, as in Figure 2.2. This diagram shows that in this model the relevance variable only aﬀects terms in the query. Starting in Step (2.6) we use the following short-hand notation: under the summation operator we will writeq (the starting set of values for i) followed by conditions that i should satisfy. For example: ∑ q should be read as ∑ i∈q, and ∑ q,tf i>0 should be read as ∑ {i| i∈q,tf i>0}. In Step (2.6), we make a common, order-preserving transformation, namely we take a log. This allows us to express the product of proba- bilities as a sum of log probabilities — actually log-odds because of the ratio in the product."
"bm25_prf_p13_c002","bm25_prf","bm25_prf.pdf","13","2","In Step (2.6), we make a common, order-preserving transformation, namely we take a log. This allows us to express the product of proba- bilities as a sum of log probabilities — actually log-odds because of the ratio in the product. In Step (2.7), we rewrite the previous equation using a function U i(x): Ui(x): =l o gP(TF i = x|rel) P(TF i = x|rel) (2.12) Fig. 2.2 Graphical model for restriction to query terms."
"bm25_prf_p14_c001","bm25_prf","bm25_prf.pdf","14","1","344 Development of the Basic Model Note that this is not the log-odds function. Note also that in Step (2.7) each term frequencytf i will be applied to a diﬀerent function Ui(tf i). This is necessary since the weight of a term does not depend only on its frequency, but also in other factors such as the collection frequency, etc. The following two steps use an arithmetic trick (sometimes referred to as removing the zeros) which eliminates from the equation terms that are not present in the document. This is crucial for the eﬃcient implementation of PRF ranking functions using inverted indices. In Step (2.8), we do two things. In the ﬁrst line, the sum over query terms in Step (2.7) has been split into two groups: those terms that are present in the document (ﬁrst sum) and those that are absent (second sum). In the second line, we subtract and add the same quantity (the sum of zero frequency weights for terms in the document) leaving the result unchanged. The reason for doing this will become clear in the next step. In Step (2.9), we regroup the sums of Step (2.8). First we note that the ﬁrst and third sums in Step (2.8) are over the same terms, and can be grouped. This forms the ﬁrst sum in Step (2.9). Then we note that the second and fourth sums in Step (2.8) span all terms in the query. This forms the second sum in Step (2.9). In Step (2.10)"
"bm25_prf_p14_c002","bm25_prf","bm25_prf.pdf","14","2","can be grouped. This forms the ﬁrst sum in Step (2.9). Then we note that the second and fourth sums in Step (2.8) span all terms in the query. This forms the second sum in Step (2.9). In Step (2.10) we drop the last sum since its value is document- independent. We note that by doing so we are left with a single sum over terms present both in the document and in the query. We have removed terms in the query with zero frequency in the document. In Step (2.11), we again rewrite the equation using the short-hand notation: W i(x): = Ui(x) − Ui(0) (2.13) = log P(TF i = x|rel)P(TF i =0 |rel) P(TF i = x|rel)P(TF i =0 |rel) (2.14) wi := Wi(tf i) (2.15) Equation (2.14) is the formula for the basic weight of a query term in a document. BothUi and Wi are term-weighting functions which can be precomputed and stored at indexing time. The diﬀerence is that in"
"bm25_prf_p15_c001","bm25_prf","bm25_prf.pdf","15","1","2.5 A Note on Probabilities and Rank Equivalence 345 order to use theUi in a document, we would have to sum over all query terms, whether or not they are present in the document. With Wi,w e need only to consider the weights wi of terms present in the document (in eﬀect the rewriting has deﬁned the weight of absent terms as zero). This ﬁts very well with the sparseness of the document-term matrix — we have no need to calculate scores of any document that contains no query terms. Indeed, this is a highly desirable property for a scoring function to be used in an inverted-ﬁle-based document retrieval system, since it means that we can easily calculate the score of all documents with non-zero scores by merging the inverted lists of the query terms. As indicated above, the model is not restricted to terms and term frequencies — any property, attribute or feature of the document, or of the document–query pair, which we reasonably expect to provide some evidence as to relevance, may be included. Below we will consider static features of documents — properties that are not dependent on the query — for inclusion. Any discrete property with a natural zero can be dealt with using the W i form of the weight — if we want to include a property without such a natural zero, we need to revert to the U i form. We note also that both forms are simple linear models — the combi-"
"bm25_prf_p15_c002","bm25_prf","bm25_prf.pdf","15","2","i form of the weight — if we want to include a property without such a natural zero, we need to revert to the U i form. We note also that both forms are simple linear models — the combi- nation of evidence from the diﬀerent query terms is just by summation. This is not in itself an assumption — it arises naturally from the more basic assumptions of the model. In the sections which follow, we deﬁne various instantiations of this basic sum-of-weights scoring model. 2.5 A Note on Probabilities and Rank Equivalence One consequence of our reliance on the probability ranking principle is that we are enabled to make the very cavalier transformations dis- cussed above, on the basis that the only property we wish to preserve is the rank order of documents. This might be a reasonable assump- tion for traditional ad hoc retrieval, but does not work for all retrieval situations. In some, for example in adaptive ﬁltering [42], we ﬁnd it desirable or necessary to arrive at an explicit estimate of the proba- bility of relevance of each considered document. Unfortunately, while"
"bm25_prf_p16_c001","bm25_prf","bm25_prf.pdf","16","1","346 Development of the Basic Model the above development allows us to serve the ranking purpose well, it is not easily reversible to give us such an explicit estimate. In particu- lar, some of the transformations involved dropping components which would not aﬀect the ranking, but would be required for a good proba- bility estimate. Often, as in the case of the component that we drop at Step (2.3), it would be very diﬃcult to estimate. Thus the above model has to be considerably modiﬁed if it is to be used in a situation which requires an explicit probability. This issue is not discussed further in the present survey."
"bm25_prf_p17_c001","bm25_prf","bm25_prf.pdf","17","1","3 Derived Models The models discussed in this section are all derived from the basic model presented in the previous section. We note again that the symbol TF in the basic weighting formula (2.14) can in general be any discrete property or attribute of the document. We start by interpreting it as a binary variable, indicating the presence or absence only of a query term in a document; in Section 3.4 we return to the more familiar term frequency. 3.1 The Binary Independence Model Suppose that TF i is a binary variable, having only the values zero and one. We can think of this, without loss of generality, as presence (one) or absence (zero) of a term: t i will refer to the event that the term is present in the document. The absence event is simply the complement of the presence event; probability of absence is one minus probability of presence. Now Equation (2.14) reduces to: w BIM i = logP(ti |rel)(1 − P(ti |rel)) (1 − P(ti |rel))P(ti |rel) (3.1) We now suppose that we do actually have some evidence on which to base estimates of these probabilities. Since they are conditional on 347"
"bm25_prf_p18_c001","bm25_prf","bm25_prf.pdf","18","1","348 Derived Models the relevance property, we are assuming that we have some judgements of relevance. We ﬁrst imagine, unrealistically, that we have a random sample of the whole collection, which has been completely judged for relevance. We derive an estimator that will also be useful for more realistic cases. We use the following notation: N — Size of the judged sample n i — Number of documents in the judged sample containing ti R — Relevant set size (i.e., number of documents judged relevant) ri — Number of judged relevant docs containing ti Given this information, we would like to estimate in an appropri- ate fashion the four probabilities needed for the weights deﬁned in Equation (3.1). The standard maximum likelihood estimate of a prob- ability from trials is a simple ratio, e.g., P(t i |rel) ≈ ri R . However, this is not a good estimator to plug into the weighting formula. A very obvious practical reason is that the combination of a ratio of proba- bilities and a log function may yield (positive or negative) inﬁnities as estimates. In fact there are also good theoretical reasons to modify the simple ratio estimates somewhat, as discussed in [44], to obtain a more robust estimator which introduces a small pseudo-count of frequency 0.5. The resulting formula is the well-known Robertson/Sprck Jones weight: w RSJ i = log(ri +0 .5)(N − R − ni + ri +0 .5) (ni − ri +0 .5)(R − ri +0 .5) (3.2) We next"
"bm25_prf_p18_c002","bm25_prf","bm25_prf.pdf","18","2","pseudo-count of frequency 0.5. The resulting formula is the well-known Robertson/Sprck Jones weight: w RSJ i = log(ri +0 .5)(N − R − ni + ri +0 .5) (ni − ri +0 .5)(R − ri +0 .5) (3.2) We next suppose that some documents, probably a small number, have been retrieved and judged – this is the usual relevance feedback scenario. In this case we might reasonably estimate the probability conditioned on (positive) relevance in the same way, from the known relevant documents. Estimation of the probabilities conditioned on non- relevance is more tricky. The obvious way, which is what Equation (3.2) ﬁrst suggests, would be to use the documents judged to be not relevant. However, we also know that (normally, for any reasonable query and any reasonable collection) the vast majority of documents are not rele- vant; those we have retrieved and judged are not only probably few in"
"bm25_prf_p19_c001","bm25_prf","bm25_prf.pdf","19","1","3.2 Relevance Feedback and Query Expansion 349 number, they are also likely to be a very non-typical set. We can make use of this knowledge to get a better estimate (at the risk of intro- ducing a little bias) by assuming that any document not yet known to be relevant is non-relevant. This is known as thecomplement method. Under this assumption, the RSJ weighting formula deﬁned above still applies, with the following redeﬁnitions of N and n i. N — Size of the whole collection ni — Number of documents in the collection containing ti Experiments suggest that using this complement method gives better estimates than using judged documents only. Finally, we suppose that we have no relevance information at all (the more usual scenario). In this case, we can only assume that the relevance probability P(t i |rel) is ﬁxed, but we can continue to use the complement method for the non-relevance probability — now we assume for this estimate that the entire collection is non-relevant. All this can be achieved by setting R = r i = 0 in the RSJ formula (3.2) — this is equivalent to settingP(ti |rel) = 0.5 (other values can be used [15]). The resulting formula is a close approximation to classical idf (it can be made closer still by a slight modiﬁcation of the model [47]): wIDF i = logN − ni +0 .5 ni +0 .5 (3.3) 3.2 Relevance Feedback and Query Expansion The model thus far clearly contains a natural"
"bm25_prf_p19_c002","bm25_prf","bm25_prf.pdf","19","2","(it can be made closer still by a slight modiﬁcation of the model [47]): wIDF i = logN − ni +0 .5 ni +0 .5 (3.3) 3.2 Relevance Feedback and Query Expansion The model thus far clearly contains a natural mechanism for rele- vance feedback — that is, for modifying the query based on relevance information. If we start with no relevance information, then we would weight the terms using the inverse document frequency (IDF) formula. Once the user makes some judgements of relevance, we should clearly reweight the terms according to the RSJ formula. But term reweighting is not in general an eﬀective method for improving search. Additionally, we have to consider expanding the query by adding new terms. At an early stage in the development of the basic model, rather than considering the entire vocabulary of terms in the estimation of"
"bm25_prf_p20_c001","bm25_prf","bm25_prf.pdf","20","1","350 Derived Models probabilities, we restricted ourselves to query terms only. This was not because we assumed that non-query terms were incapable of giving us any useful information, but rather that in the absence of any evidence about either which terms might be useful, or how useful they might be, a reasonable neutral prior assumption was that all non-query terms had zero correlation with relevance. However, in the relevance feedback scenario discussed above, we do indeed have some evidence for the inclusion of non-query terms. Potentially we can treat any term that occurs in any of the relevant documents as possibly useful. However, it is clear that many such terms will be noise, so we will probably need a conservative rule for adding new terms to the query. For each candidate term (i.e., non-query term present in a document judged relevant) we can consider how useful it might be if added to the query. One measure of this is simply the RSJ weight as above. However, this will emphasise very rare terms (this is consistent with the IDF idea) — such terms may indeed be good evidence of relevance when they occur, but because they occur in so few documents, they will not have much overall eﬀect on retrieval. As an alternative, we look for a measure of the possible overall eﬀect of adding a term; we refer to this (following [53]) as an oﬀer weight. We could base an oﬀer weight formula on a number of diﬀerent models. One"
"bm25_prf_p20_c002","bm25_prf","bm25_prf.pdf","20","2","an alternative, we look for a measure of the possible overall eﬀect of adding a term; we refer to this (following [53]) as an oﬀer weight. We could base an oﬀer weight formula on a number of diﬀerent models. One proposed in [41], to go with the binary independence model, is as follows. We look for terms that will maximally increase the diﬀerence in average score between relevant and non-relevant items. If we were to add term t i to the query with weight wi, then under the binary independence model (or indeed any additive term-weighting system based on term presence/absence only), it would increase the score of any document containing it by w i. The scores of other doc- uments would not be aﬀected, so the increase in average score could be calculated from the probability of the presence of t i. Thus the dif- ference in average score between relevant and non-relevant documents would be OW i =( P(ti |rel) − P(ti |rel))wi (3.4)"
"bm25_prf_p21_c001","bm25_prf","bm25_prf.pdf","21","1","3.3 Blind Feedback 351 (note that this is not the same as wi itself). Further, an appropriate estimate of this quantity can be derived as follows: OWRSJ i ≈ P(ti |rel)wi ≈ ri Rwi ∝ q ri wRSJ i (3.5) The ﬁrst step approximates by ignoring the second probability (usually much smaller than the ﬁrst); the second replaces the probability by the obvious estimate; and the third multiplies by R, which is constant for a given query. The usual approach is to extract all terms from the relevant doc- uments, rank them in order of oﬀer weight by formula (3.5), and add only the top x terms from this ranked list ( x m a yb eo ft h e order of 10). This approach to query expansion was intended for the binary inde- pendence model and RSJ weighting, but has also been used with some success for BM25 (see Section 3.4 below). But it clearly has some limi- tations. As we add more and more terms to the query, we are likely to introduce synonyms or closely related words (indeed, this is why we do query expansion in the ﬁrst place). However, in [36, 37] authors argue that this query expansion may worsen the term independence assump- tion; they propose an extension of the PRF model which attempts to correct this by taking into account some of the semantic structure of the query. 3.3 Blind Feedback The same principles may be used in what is now known as pseudo-"
"bm25_prf_p21_c002","bm25_prf","bm25_prf.pdf","21","2","propose an extension of the PRF model which attempts to correct this by taking into account some of the semantic structure of the query. 3.3 Blind Feedback The same principles may be used in what is now known as pseudo- relevance or blind feedback. Here we assume that we have no actual relevance judgements, but we run an initial search on an initial version of the query (using only original query terms), take the top-ranked y documents (say 5 or 10), assume them to be relevant, and then follow the above relevance feedback procedures."
"bm25_prf_p22_c001","bm25_prf","bm25_prf.pdf","22","1","352 Derived Models We note, however, the following: 1. Blind feedback is generally known to be capable of improving search results on average, but tends to fail on some queries, particularly on queries that are diﬃcult to start with, where the top-ranked documents from the initial search may be poor. 2. The (true) relevance feedback procedure described above is in some sense correct in terms of the probabilistic model, on the assumption that the relevance judgements are good. In the blind feedback case, we have a set of documents whose relevance is (at best) likely rather than sure. It would be better to take account of the probability of relevance of each of these top-ranked documents, rather than simply assum- ing relevance. Such a method could be devised if we had a calibrated probability of relevance for each of these docu- ments. However, the fact that we do not normally have such a calibrated probability in the present model, as discussed in Section 2.5, makes it more diﬃcult to see how to accomplish this. 3.4 The Eliteness Model and BM25 We now re-introduce term frequencies into our model; this requires a model of how diﬀerent term frequencies might arise in a document (this model is originally due to Harter [19]). We suppose that for any document-term pair, there is a hidden property which we refer to as eliteness. This can be interpreted as a form of aboutness: if the term is elite in the document, in some sense the document"
"bm25_prf_p22_c002","bm25_prf","bm25_prf.pdf","22","2","We suppose that for any document-term pair, there is a hidden property which we refer to as eliteness. This can be interpreted as a form of aboutness: if the term is elite in the document, in some sense the document isabout the concept denoted by the term. Now we assume that actual occurrences of the term in the document depend on eliteness, and that there may be an association between eliteness (to the term) and relevance (to the query). But we further assume that these relations are enough to explain the association between term frequency tf and relevance to the query — that is, given the two assumed dependencies, tf is independent of Rel. As before, we can illustrate the assumptions by means of a graphical model, as in Figure 3.1."
